หมวดหมู่,กลุ่ม/เซนเซอร์,รายการ (ดาวเทียม/โหมด),รายละเอียดภาพ (Resolution),Polarization,ราคาคอลัมน์ 1,ความหมายคอลัมน์ 1,ราคาคอลัมน์ 2,ความหมายคอลัมน์ 2,หน่วย,หมายเหตุ
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,Pléiades NEO,30 cm.,,880,ข้อมูลในคลัง (Standard Archive),"1,270",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,WorldView-4,30 cm.,,920,ข้อมูลในคลัง (Standard Archive),"1,560",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,SuperView-2,42 cm.,,700,ข้อมูลในคลัง (Standard Archive),"1,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,WorldView-1,50 cm.,,700,ข้อมูลในคลัง (Standard Archive),"1,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,WorldView-2,50 cm.,,700,ข้อมูลในคลัง (Standard Archive),"1,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,WorldView-3,50 cm.,,700,ข้อมูลในคลัง (Standard Archive),"1,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,GeoEye-1,50 cm.,,700,ข้อมูลในคลัง (Standard Archive),"1,100",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,Pléiades,50 cm.,,490,ข้อมูลในคลัง (Standard Archive),830,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,EarthScanner,50 cm.,,400,ข้อมูลในคลัง (Standard Archive),800,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (รายละเอียดภาพ 30 – 50 ซม.),,SuperView-1,50 cm.,,500,ข้อมูลในคลัง (Standard Archive),900,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),บาท/ตร.กม.,
